restaurant_name,address,rating,num_reviews,tripadvisor_rating,cost,tags,website,google_maps_link
On The Rocks,"1265 Rogers Way, Kamloops, British Columbia V1S 1R9 Canada",4.0 of 5 bubbles,287,"#22, of 207 Restaurants in Kamloops",$$ - $$$,"American,Bar,Pub",,
Moxie's Grill & Bar,"225 Lorne St Downtown Across from Riverside Park, Kamloops, British Columbia V2C 1W2 Canada",4.0 of 5 bubbles,300,"#23, of 207 Restaurants in Kamloops",$$ - $$$,"American,Bar,Grill",,
Peter's Pasta,"149 Victoria St, Kamloops, British Columbia V2C 1Z4 Canada",4.0 of 5 bubbles,263,"#21, of 207 Restaurants in Kamloops",$$ - $$$,"Italian,Canadian,Vegetarian Friendly",,
Browns Socialhouse,"1180 Columbia St W A-101, Kamloops, British Columbia V2C 6R6 Canada",4.0 of 5 bubbles,189,"#17, of 207 Restaurants in Kamloops",$$ - $$$,"American,Fusion,Canadian",,
Jamaican Kitchen,"451 Tranquille Rd, Kamloops, British Columbia V2B 3H3 Canada",4.5 of 5 bubbles,139,"#18, of 207 Restaurants in Kamloops",$$ - $$$,"Caribbean,Jamaican,Vegetarian Friendly",,
Arigato Sushi,"1395 Hillside Dr, Kamloops, British Columbia V2E 2R7 Canada",4.5 of 5 bubbles,185,"#19, of 207 Restaurants in Kamloops",$$ - $$$,"Japanese,Sushi,Asian",,
Frick & Frack Tap House,"577 Victoria St, Kamloops, British Columbia V2C 2B1 Canada",4.0 of 5 bubbles,420,"#16, of 207 Restaurants in Kamloops",$$ - $$$,"International,Pub,Vegetarian Friendly",,
Gui Korean BBQ,"1801 Princeton Kamloops Hwy #408, Kamloops, British Columbia V2E 2J7 Canada",4.5 of 5 bubbles,81,"#15, of 207 Restaurants in Kamloops",$$ - $$$,"Barbecue,Asian,Korean",,
Kohinoor Indian Restaurant,"550 Columbia St W, Kamloops, British Columbia V2C 1K6 Canada",4.5 of 5 bubbles,100,"#14, of 207 Restaurants in Kamloops",$$ - $$$,"Indian,Asian,Nepalese",,
Amsterdam Restaurant,"111 Oriole Rd Unit 1, Kamloops, British Columbia V2C 4N6 Canada",4.0 of 5 bubbles,177,"#20, of 207 Restaurants in Kamloops",$$ - $$$,"Dutch,European,Fusion",,
Passek's Classics Restaurant & Bakery,"326 Victoria St, Kamloops, British Columbia V2C 2A5 Canada",4.5 of 5 bubbles,171,"#13, of 207 Restaurants in Kamloops",$$ - $$$,"American,International,Canadian",,
Dorian Greek House,"430 Victoria St, Kamloops, British Columbia V2C 2A7 Canada",4.0 of 5 bubbles,557,"#11, of 207 Restaurants in Kamloops",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Cordo Resto + Bar,"540 Victoria St, Kamloops, British Columbia V2C 2B2 Canada",4.5 of 5 bubbles,90,"#9, of 207 Restaurants in Kamloops",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Mittz Kitchen,"227 Victoria St, Kamloops, British Columbia V2C 2A1 Canada",4.5 of 5 bubbles,463,"#7, of 207 Restaurants in Kamloops",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Quilas Mexican Restaurant,"330 Victoria St, Kamloops, British Columbia V2C 2A5 Canada",4.5 of 5 bubbles,448,"#12, of 207 Restaurants in Kamloops",$$ - $$$,"Mexican,Latin,Vegetarian Friendly",,
Romeo’s Kitchen + Spirits,"1250 Rogers Way, Kamloops, British Columbia V1S 1N5 Canada",4.5 of 5 bubbles,588,"#6, of 207 Restaurants in Kamloops",$$ - $$$,"Bar,International,Contemporary",,
Brownstone Restaurant,"118 Victoria St Bc, Kamloops, British Columbia V2C 1Z7 Canada",4.5 of 5 bubbles,467,"#4, of 207 Restaurants in Kamloops",$$$$,"Canadian,Vegetarian Friendly,Vegan Options",,
The Noble Pig Brewhouse,"650 Victoria St, Kamloops, British Columbia V2C 2B4 Canada",4.5 of 5 bubbles,"1,364","#8, of 207 Restaurants in Kamloops",$$ - $$$,"Brew Pub,Bar,Pub",,
Sushi Valley,"11-2121 Trans Canada Hwy E Bc, Kamloops, British Columbia V2C 4A6 Canada",4.5 of 5 bubbles,142,"#5, of 207 Restaurants in Kamloops",$$ - $$$,"Japanese,Korean,Vegetarian Friendly",,
Jacob's Noodle & Cutlet,"260 4th Ave, Kamloops, British Columbia V2C 3N5 Canada",4.5 of 5 bubbles,211,"#3, of 207 Restaurants in Kamloops",$$ - $$$,"Japanese,Asian,Korean",,
Maurya's Rest . Bar . Banquet,"165 Victoria St 100th Block, Kamloops, British Columbia V2C 1Z4 Canada",4.5 of 5 bubbles,296,"#1, of 207 Restaurants in Kamloops",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
Milestones,"2745 Barnet Highway, Coquitlam, British Columbia V3E 1K9 Canada",3.5 of 5 bubbles,242,"#11, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Bar,Canadian",,
Hello Toast,"428 Victoria St, Kamloops, British Columbia V2C 2A7 Canada",4.5 of 5 bubbles,981,"#2, of 207 Restaurants in Kamloops",$$ - $$$,"American,Cafe,Healthy",,
Henry's Kitchen Pasta & Grill (Reservation Only),"2410 St. Johns St, Port Moody, British Columbia V3H 2B1 Canada",4.5 of 5 bubbles,58,"#10, of 58 Restaurants in Port Moody",$$ - $$$,"Italian,French,Vegetarian Friendly",,
Burrard Public House,"2414 Saint. John's Street, Port Moody, British Columbia Canada",4.0 of 5 bubbles,60,"#9, of 58 Restaurants in Port Moody",$$ - $$$,"Bar,Pub,Gastropub",,
Original's Cafe Mexicano,"2231 Clarke St, Port Moody, British Columbia V3H 1Y6 Canada",4.0 of 5 bubbles,109,"#8, of 58 Restaurants in Port Moody",$$ - $$$,"Mexican,Latin,Spanish",,
Tiger Ramen,"310-1210 Summit Dr, Kamloops, British Columbia V2C 6M1 Canada",4.5 of 5 bubbles,133,"#10, of 207 Restaurants in Kamloops",$,"Japanese,Asian,Soups",,
Sushi K Kamizato,"2850 Shaughnessy St Suite 2105, Port Coquitlam, British Columbia V3C 6K5 Canada",4.5 of 5 bubbles,60,"#9, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Japanese,Sushi,Asian",,
Taps & Tacos Restaurant,"91 Moody St, Port Moody, British Columbia V3H 0H1 Canada",4.0 of 5 bubbles,68,"#7, of 58 Restaurants in Port Moody",$$ - $$$,"Mexican,Bar,Healthy",,
Spacca Napoli,"2801 St Johns St, Port Moody, British Columbia Canada",4.0 of 5 bubbles,121,"#5, of 58 Restaurants in Port Moody",$$ - $$$,"Italian,Pizza,Vegetarian Friendly",,
Little Bangkok Thai Kitchen,"2335 St Johns St, Port Moody, British Columbia V3H 2A8 Canada",4.5 of 5 bubbles,55,"#6, of 58 Restaurants in Port Moody",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
Me-N-Eds Pizza Parlour,"1121 Austin Ave, Coquitlam, British Columbia V3K 3P4 Canada",4.5 of 5 bubbles,74,"#10, of 244 Restaurants in Coquitlam",$$ - $$$,"Pizza,Canadian,Vegetarian Friendly",,
Browns Socialhouse,"215 Newport Dr, Port Moody, British Columbia V3H 5C9 Canada",4.0 of 5 bubbles,110,"#4, of 58 Restaurants in Port Moody",$$ - $$$,"American,Bar,Contemporary",,
San Remo Restaurant,"3022 Flint St, Port Coquitlam, British Columbia V3B 4H4 Canada",4.0 of 5 bubbles,195,"#8, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Italian,Pizza,Canadian",,
Me-N-Ed's Pizza Parlors,"2233 McAllister Ave, Port Coquitlam, British Columbia V3C 2A9 Canada",4.0 of 5 bubbles,105,"#7, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Italian,Pizza,Canadian",,
C-Lovers Fish & Chips,"108-2991 Lougheed Hwy, Coquitlam, British Columbia V3B 6J6 Canada",4.5 of 5 bubbles,62,"#9, of 244 Restaurants in Coquitlam",$$ - $$$,"Seafood,Canadian",,
Aroma Indian Restaurant and Lounge,"50 Queens St, Port Moody, British Columbia V3H 2N4 Canada",4.0 of 5 bubbles,167,"#3, of 58 Restaurants in Port Moody",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
Ma Now Thai Kitchen,"2755 Lougheed Hwy Unit 29, Port Coquitlam, British Columbia V3B 5Y9 Canada",4.5 of 5 bubbles,55,"#5, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
Cora Breakfast and Lunch,"3025 Lougheed Hwy Suite 390, Coquitlam, British Columbia V3B 6S2 Canada",4.0 of 5 bubbles,148,"#7, of 244 Restaurants in Coquitlam",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Golden Boot Cafe,"1028 Ridgeway Ave, Coquitlam, British Columbia V3J 1S5 Canada",4.5 of 5 bubbles,112,"#8, of 244 Restaurants in Coquitlam",$$ - $$$,"Italian,Vegetarian Friendly,Vegan Options",,
Spice Art Indian Cuisine,"B104-1475 Prairie Ave, Port Coquitlam, British Columbia V3B 1T3 Canada",4.5 of 5 bubbles,56,"#6, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Indian,Middle Eastern,Vegetarian Friendly",,
Gillnetter Pub,"1864 Argue St, Port Coquitlam, British Columbia V3C 5K4 Canada",4.0 of 5 bubbles,319,"#3, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Bar,Pub,Canadian",,
Rosa's Cucina Italiana,"2331 Clarke St, Port Moody, British Columbia V3H 1Y9 Canada",4.0 of 5 bubbles,146,"#2, of 58 Restaurants in Port Moody",$$ - $$$,"Italian,Vegetarian Friendly",,
Izba Bistro,"1545 Lougheed Hwy V3b1a5, Port Coquitlam, British Columbia V3B 1A5 Canada",4.5 of 5 bubbles,239,"#2, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Polish,European,Canadian",,
Pallas Athena Greek Kouzina,"101-1250 Dominion Ave, Port Coquitlam, British Columbia V3B 8G7 Canada",4.5 of 5 bubbles,106,"#4, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
The Coquitlam Grill,"2635 Barnet Hwy Ste 108, Coquitlam, British Columbia V3E 1K9 Canada",4.0 of 5 bubbles,264,"#5, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Canadian,Vegetarian Friendly",,
Cactus Club Cafe Coquitlam,"110 Schoolhouse Street Corner of Lougheed Highway, Coquitlam, British Columbia V3K 6V9 Canada",4.0 of 5 bubbles,256,"#3, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Bar,Canadian",,
The Keg Steakhouse + Bar - Coquitlam,"2991 Lougheed Highway Unit 130, Coquitlam, British Columbia V3B 6J6 Canada",4.0 of 5 bubbles,247,"#6, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Steakhouse,Bar",,
The Big Flat Pancake Co.,"203=2020 Oxford Connector, Port Coquitlam, British Columbia V3C 0A4 Canada",4.5 of 5 bubbles,74,"#1, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
John B. Neighbourhood Pub,"1000 Austin Ave, Coquitlam, British Columbia V3K 3P1 Canada",4.0 of 5 bubbles,231,"#4, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Bar,Pub",,
Milano's Ristorante,"300-6551 Aulds Rd, Nanaimo, British Columbia V9T 6K2 Canada",4.0 of 5 bubbles,278,"#30, of 203 Restaurants in Nanaimo",$$ - $$$,"Italian,Pizza,Mediterranean",,
Saint St Grill,"2510 St Johns St, Port Moody, British Columbia V3H 2B4 Canada",4.5 of 5 bubbles,212,"#1, of 58 Restaurants in Port Moody",$$$$,"Canadian,Vegetarian Friendly,Gluten Free Options",,
Melange restaurant,"101-223 Commercial St, Nanaimo, British Columbia V9R 5G8 Canada",4.5 of 5 bubbles,46,"#28, of 203 Restaurants in Nanaimo",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Jalapenos Mexican Food,"450B Wakesiah Ave, Nanaimo, British Columbia V9R 3K9 Canada",4.5 of 5 bubbles,91,"#26, of 203 Restaurants in Nanaimo",$,"Mexican,Spanish,Vegetarian Friendly",,
Kim's Korean BBQ House,"1607 Bowen Rd, Nanaimo, British Columbia V9S 1G5 Canada",4.5 of 5 bubbles,63,"#29, of 203 Restaurants in Nanaimo",$$ - $$$,"Asian,Korean,Vegetarian Friendly",,
Gina's Mexican Cafe,"47 Skinner St, Nanaimo, British Columbia V9R 5G9 Canada",4.0 of 5 bubbles,500,"#25, of 203 Restaurants in Nanaimo",$$ - $$$,"Mexican,Vegetarian Friendly,Vegan Options",,
Browns Socialhouse,"6338 Metral Dr Unit 6, Nanaimo, British Columbia V9T 2L8 Canada",4.0 of 5 bubbles,272,"#27, of 203 Restaurants in Nanaimo",$$ - $$$,"Fusion,Wine Bar,Canadian",,
Saigon Kitchen,"2-5148 Metral Dr, Nanaimo, British Columbia V9T 2K8 Canada",4.5 of 5 bubbles,107,"#21, of 203 Restaurants in Nanaimo",$$ - $$$,"Vietnamese,Vegetarian Friendly,Vegan Options",,
Firehouse Grill,"7 Victoria Rd, Nanaimo, British Columbia V9R 4N9 Canada",4.0 of 5 bubbles,366,"#23, of 203 Restaurants in Nanaimo",$$ - $$$,"Seafood,Sushi,Asian",,
Minnoz Restaurant & Lounge,"11 Bastion St, Nanaimo, British Columbia V9R 6E4 Canada",4.0 of 5 bubbles,250,"#22, of 203 Restaurants in Nanaimo",$$ - $$$,"Seafood,Canadian,Vegetarian Friendly",,
SukkhoThai,"123 Commercial St, Nanaimo, British Columbia V9R 5G5 Canada",4.0 of 5 bubbles,206,"#20, of 203 Restaurants in Nanaimo",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
Umai Sushi,"303-4575 Uplands Dr Nanaimo North Town Centre, Nanaimo, British Columbia V9T 6M8 Canada",4.0 of 5 bubbles,166,"#24, of 203 Restaurants in Nanaimo",$,"Japanese,International,Sushi",,
Milton Street Public House,"247 Milton St, Nanaimo, British Columbia V9R 2K5 Canada",4.5 of 5 bubbles,74,"#17, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,Pub,Canadian",,
Cactus Club Cafe Nanaimo,"801-5800 Turner Rd, Nanaimo, British Columbia V9T 6J4 Canada",4.0 of 5 bubbles,280,"#19, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,Canadian,Vegetarian Friendly",,
Modern Cafe,"221 Commercial St, Nanaimo, British Columbia V9R 5G8 Canada",4.0 of 5 bubbles,443,"#16, of 203 Restaurants in Nanaimo",$$ - $$$,"Canadian,Soups,Vegetarian Friendly",,
Dinghy Dock Pub & Floating Restaurant,"8 Pirates Lane, Nanaimo, British Columbia V9R 6R1 Canada",4.0 of 5 bubbles,633,"#18, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,Seafood,Pub",,
Simonholt Restaurant,"6582 Applecross Rd, Nanaimo, British Columbia V9V 0A4 Canada",4.0 of 5 bubbles,519,"#14, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,Healthy,Wine Bar",,
Mon Petit Choux,"101 Commercial St, Nanaimo, British Columbia V9R 5G5 Canada",4.0 of 5 bubbles,313,"#13, of 203 Restaurants in Nanaimo",$$ - $$$,"French,Cafe,Canadian",,
Top Notch Burgers,"70 Church St, Nanaimo, British Columbia V9R 5H4 Canada",4.5 of 5 bubbles,117,"#15, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,Grill,Canadian",,
Huong Lan Vietnamese Restaurant,"19-1925 Bowen Rd, Nanaimo, British Columbia V9S 1H1 Canada",4.5 of 5 bubbles,215,"#11, of 203 Restaurants in Nanaimo",$$ - $$$,"Asian,Vietnamese,Soups",,
Mambo Gourmet Pizza,"16 Victoria Cres, Nanaimo, British Columbia V9R 5B8 Canada",4.5 of 5 bubbles,152,"#12, of 203 Restaurants in Nanaimo",$$ - $$$,"Pizza,Fast food,Canadian",,
La Stella Trattoria,"321 Wesley St, Nanaimo, British Columbia V9R 2T5 Canada",4.5 of 5 bubbles,221,"#10, of 203 Restaurants in Nanaimo",$$ - $$$,"Italian,Pizza,Mediterranean",,
The Nest Bistro,"77 Skinner St, Nanaimo, British Columbia V9R 5G9 Canada",4.5 of 5 bubbles,467,"#8, of 203 Restaurants in Nanaimo",$$ - $$$,"Italian,Fusion,Canadian",,
Crow & Gate Pub,"2313 Yellow Point Rd, Nanaimo, British Columbia V9X 1W5 Canada",4.5 of 5 bubbles,"1,167","#5, of 203 Restaurants in Nanaimo",$$ - $$$,"Bar,British,Pub",,
Smokin' George's BBQ,"4131 Mostar Rd Unit 5 Unit #5, Nanaimo, British Columbia V9T 6A6 Canada",4.5 of 5 bubbles,321,"#7, of 203 Restaurants in Nanaimo",$$ - $$$,"American,Barbecue,Canadian",,
The View Oceanside Grill,"70 Church St, Nanaimo, British Columbia V9R 5H4 Canada",4.5 of 5 bubbles,256,"#4, of 203 Restaurants in Nanaimo",$$ - $$$,"Seafood,Canadian,Vegetarian Friendly",,
Brambles Bistro,"29985 Downes Rd Tanglebank Gardens, Abbotsford, British Columbia V4X 1Z8 Canada",4.0 of 5 bubbles,97,"#30, of 211 Restaurants in Abbotsford",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Nori Japanese Restaurant,"203-6750 Island Hwy N, Nanaimo, British Columbia V9V 1S3 Canada",4.5 of 5 bubbles,866,"#2, of 203 Restaurants in Nanaimo",$$ - $$$,"Japanese,Sushi,Asian",,
Longwood Brew Pub & Restaurant,"5775 Turner Rd, Nanaimo, British Columbia V9T 6L8 Canada",4.0 of 5 bubbles,663,"#9, of 203 Restaurants in Nanaimo",$$ - $$$,"Brew Pub,Bar,Contemporary",,
Gabriel's Gourmet Cafe,"39 Commercial St, Nanaimo, British Columbia V9R 5G3 Canada",4.5 of 5 bubbles,419,"#6, of 203 Restaurants in Nanaimo",$$ - $$$,"Fusion,Canadian,Vegetarian Friendly",,
Little Japan Restaurant,"105-33643 Marshall Rd, Abbotsford, British Columbia V2S 1L4 Canada",4.5 of 5 bubbles,52,"#29, of 211 Restaurants in Abbotsford",$$ - $$$,"Japanese,Sushi,Asian",,
Rendezvous Restaurant Mt Lehman,"3280 Mt Lehman Rd #111, Abbotsford, British Columbia V4X 2M9 Canada",4.0 of 5 bubbles,53,"#28, of 211 Restaurants in Abbotsford",$$ - $$$,"Greek,Canadian,Vegetarian Friendly",,
Hiko Sushi Japanese Restaurant,"2054 Whatcom Rd Suite 2A, Abbotsford, British Columbia V3G 2K8 Canada",4.5 of 5 bubbles,36,"#26, of 211 Restaurants in Abbotsford",$$ - $$$,"Japanese,Sushi,Asian",,
Mahle House Restaurant,"2104 Hemer Rd B.c., Nanaimo, British Columbia V9X 1L8 Canada",4.5 of 5 bubbles,315,"#3, of 203 Restaurants in Nanaimo",$$$$,"International,Contemporary,Canadian",,
Clayburn Village Store and Tea Shop,"34810 Clayburn Rd, Abbotsford, British Columbia V2S 7Y9 Canada",4.5 of 5 bubbles,58,"#27, of 211 Restaurants in Abbotsford",$$ - $$$,"British,Canadian,Soups",,
The Keg Steakhouse and Bar,"2142 West Railway Street, Abbotsford, British Columbia V2S 2E2 Canada",4.0 of 5 bubbles,200,"#25, of 211 Restaurants in Abbotsford",$$ - $$$,"Steakhouse,Bar,Canadian",,
Cheryl's Cafe,"2296 Townline Rd # 9, Abbotsford, British Columbia V2T 6H1 Canada",4.5 of 5 bubbles,29,"#24, of 211 Restaurants in Abbotsford",$$ - $$$,"Cafe,Healthy,Canadian",,
New Saigon Vietnamese Cuisine,"108-31935 South Fraser Way, Abbotsford, British Columbia V2T 5N7 Canada",4.5 of 5 bubbles,75,"#23, of 211 Restaurants in Abbotsford",$$ - $$$,"Asian,Vietnamese,Soups",,
C-Lovers Fish & Chips,"7-32451 South Fraser Way, Abbotsford, British Columbia V2T 1X4 Canada",4.0 of 5 bubbles,113,"#20, of 211 Restaurants in Abbotsford",$$ - $$$,"Seafood,Canadian",,
Ricardo's Pizza,"6-32750 George Ferguson Way, Abbotsford, British Columbia V2T 4V6 Canada",4.5 of 5 bubbles,60,"#22, of 211 Restaurants in Abbotsford",$$ - $$$,"Italian,Pizza,Canadian",,
Dragon Fort Restaurant,"2439 Pauline St, Abbotsford, British Columbia V2S 3R9 Canada",3.5 of 5 bubbles,269,"#21, of 211 Restaurants in Abbotsford",$$ - $$$,"Chinese,Asian,Cantonese",,
Paliotti's Italian Restaurants,"33886 Essendene Ave, Abbotsford, British Columbia V2S 2H4 Canada",3.5 of 5 bubbles,367,"#19, of 211 Restaurants in Abbotsford",$$ - $$$,"Italian,Mediterranean,Canadian",,
Greek Islands Restaurant III,"33244 South Fraser Way, Abbotsford, British Columbia V2S 2B3 Canada",4.5 of 5 bubbles,101,"#16, of 211 Restaurants in Abbotsford",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Bavaria Restaurant,"33233 Walsh Ave, Abbotsford, British Columbia V2S 1Z9 Canada",4.0 of 5 bubbles,141,"#14, of 211 Restaurants in Abbotsford",$$ - $$$,"German,Canadian,Vegetarian Friendly",,
Ricky's Country Restaurant,"32080 Marshall Rd, Abbotsford, British Columbia V2T 1A1 Canada",4.0 of 5 bubbles,349,"#15, of 211 Restaurants in Abbotsford",$$ - $$$,"American,Canadian,Vegetarian Friendly",,
Ocean Park Pizza & Steak House Abbotsford,"2596 McMillan Rd #102, Abbotsford, British Columbia V3G 1C4 Canada",4.5 of 5 bubbles,141,"#13, of 211 Restaurants in Abbotsford",$$ - $$$,"Italian,Pizza,Greek",,
S+L Kitchen & Bar,"200-2070 Sumas Way, Abbotsford, British Columbia V2S 2C7 Canada",4.0 of 5 bubbles,139,"#18, of 211 Restaurants in Abbotsford",$$ - $$$,"Bar,Canadian,Vegetarian Friendly",,
Gian's Indian Cuisine,"31549 South Fraser Way, Abbotsford, British Columbia V2T 1T8 Canada",4.5 of 5 bubbles,86,"#12, of 211 Restaurants in Abbotsford",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options",,
White Spot,"36063 North Parallel Rd, Abbotsford, British Columbia V3G 2C6 Canada",4.0 of 5 bubbles,81,"#17, of 211 Restaurants in Abbotsford",$$ - $$$,"Canadian,Vegetarian Friendly,Gluten Free Options",,
Old Spaghetti Factory,"2030 Sumas Way, Abbotsford, British Columbia V2S 2C7 Canada",4.0 of 5 bubbles,229,"#11, of 211 Restaurants in Abbotsford",$$ - $$$,"Italian,Canadian,Vegetarian Friendly",,
Bow & Stern,"2551 Montrose Ave Bc, Abbotsford, British Columbia V2S 3T4 Canada",4.0 of 5 bubbles,274,"#10, of 211 Restaurants in Abbotsford",$$ - $$$,"American,Bar,Seafood",,
Ann Maries Cafe,"33771 George Ferguson Way Parking behind off Montrose Ave, Abbotsford, British Columbia V2S 2M5 Canada",4.5 of 5 bubbles,235,"#8, of 211 Restaurants in Abbotsford",$$ - $$$,"American,Cafe,Diner",,
Nikko Japanese Restaurant,"12-33324 South Fraser Way, Abbotsford, British Columbia V2S 2B4 Canada",5.0 of 5 bubbles,74,"#9, of 211 Restaurants in Abbotsford",$$ - $$$,"Japanese,Sushi,Asian",,
Vi La Palace Vietnamese Restaurant,"107-3240 Mt Lehman Rd, Abbotsford, British Columbia V4X 2M9 Canada",4.5 of 5 bubbles,160,"#7, of 211 Restaurants in Abbotsford",$$ - $$$,"Asian,Vietnamese,Vegetarian Friendly",,
Cactus Club Cafe Abbotsford,"34650 Delair Road Unit B, Abbotsford, British Columbia V2S 2C9 Canada",4.0 of 5 bubbles,426,"#5, of 211 Restaurants in Abbotsford",$$ - $$$,"American,Bar,International",,
Spice Kitchen The Indian Palate,"100-2955 Gladwin Rd Behind Great Clips,Facing George Ferguson Way, Abbotsford, British Columbia V2T 5T4 Canada",4.5 of 5 bubbles,148,"#6, of 211 Restaurants in Abbotsford",$$ - $$$,"Indian,Vegan Options,Gluten Free Options",,
Brodeurs Bistro,"3550 Mt Lehman Road, Abbotsford, British Columbia V2X 2M9 Canada",4.5 of 5 bubbles,826,"#2, of 211 Restaurants in Abbotsford",$$ - $$$,"American,Cajun & Creole,Bar",,
Restaurant 62,"2001 McCallum Rd, Abbotsford, British Columbia V2S 3N5 Canada",4.5 of 5 bubbles,262,"#3, of 211 Restaurants in Abbotsford",$$$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Lou's Grill,"2852 Gladys Ave, Abbotsford, British Columbia V2S 3Y2 Canada",4.0 of 5 bubbles,696,"#4, of 211 Restaurants in Abbotsford",$$ - $$$,"Steakhouse,Bar,Grill",,
Sixth Street Grill,"413 Sixth St, New Westminster, British Columbia V3L 3B1 Canada",4.0 of 5 bubbles,57,"#25, of 189 Restaurants in New Westminster",$$ - $$$,"Diner,Canadian",,
Greek Islands Restaurant,"2686 Langdon St, Abbotsford, British Columbia V2T 3L2 Canada",4.5 of 5 bubbles,600,"#1, of 211 Restaurants in Abbotsford",$$ - $$$,"Mediterranean,Greek,Canadian",,
Hon's Won Ton House,"6th Street, New Westminster, British Columbia Canada",4.0 of 5 bubbles,124,"#22, of 189 Restaurants in New Westminster",$$ - $$$,"Chinese,Asian,Cantonese",,
Anny's Dairy Bar,"722 Sixth St, New Westminster, British Columbia V3L 3C5 Canada",4.5 of 5 bubbles,26,"#24, of 189 Restaurants in New Westminster",$,"Fast food,Canadian",,
Gino's Restaurant,"431 Columbia St E, New Westminster, British Columbia V3L 3X4 Canada",4.0 of 5 bubbles,64,"#20, of 189 Restaurants in New Westminster",$$ - $$$,"Pizza,International,Mediterranean",,
Mongo Bongo,"512 6th Ave, New Westminster, British Columbia V3L 2X9 Canada",4.5 of 5 bubbles,33,"#19, of 189 Restaurants in New Westminster",$,"Asian,Mongolian,Vegetarian Friendly",,
Coming Home Cafe,"753 Sixth St Uptown, new west, New Westminster, British Columbia V3L 3C6 Canada",4.5 of 5 bubbles,34,"#21, of 189 Restaurants in New Westminster",$,"Cafe,Canadian,Vegetarian Friendly",,
Match Eatery & Public House,"350 Gifford Street, New Westminster, British Columbia V3M 7A3 Canada",4.0 of 5 bubbles,85,"#23, of 189 Restaurants in New Westminster",$$ - $$$,"American,Bar,Pub",,
Ki Sushi,"Columbia Street, New Westminster, British Columbia Canada",4.0 of 5 bubbles,119,"#18, of 189 Restaurants in New Westminster",$$ - $$$,"Japanese,Sushi,Asian",,
Patsara Thai Restaurant,"528 Carnarvon St, New Westminster, British Columbia V3L 1C4 Canada",4.0 of 5 bubbles,64,"#17, of 189 Restaurants in New Westminster",$$ - $$$,"Asian,Thai,Vegetarian Friendly",,
JOEY Coquitlam,"550 Lougheed Hwy, Coquitlam, British Columbia V3K 3S3 Canada",4.0 of 5 bubbles,309,"#2, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Bar,Grill",,
River's Reach Pub,"320 Sixth St, New Westminster, British Columbia V3L 3A8 Canada",4.0 of 5 bubbles,100,"#13, of 189 Restaurants in New Westminster",$$ - $$$,"Bar,Pub,Canadian",,
Steel and Oak Brewing Co,"1319 Third Ave, New Westminster, British Columbia V3M 1R2 Canada",4.5 of 5 bubbles,52,"#14, of 189 Restaurants in New Westminster",$,Canadian,,
The Boathouse Restaurant,"900 Quayside Dr, New Westminster, British Columbia V3M 6G1 Canada",3.5 of 5 bubbles,469,"#12, of 189 Restaurants in New Westminster",$$ - $$$,"Bar,Seafood,Canadian",,
Cockney Kings Fish & Chips,"130 - 66 10th Avenue, New Westminster, British Columbia Canada",4.5 of 5 bubbles,39,"#15, of 189 Restaurants in New Westminster",$$ - $$$,"Seafood,British,Canadian",,
My Greek Taverna,"946 Brunette Ave, Coquitlam, British Columbia V3K 1C9 Canada",4.5 of 5 bubbles,373,"#1, of 244 Restaurants in Coquitlam",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
