attraction_name,attraction_rating,attraction_category,num_reviews,rank_in_city,photo,about,suggested_duration
Giddy- Up Pony Lessons And Trail Rides,,Horseback Riding Tours,737,#98 of 118 Outdoor Activities in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/e5/98/11/pony-love.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
,,,,,,,
Purely Wellness,,Spas,737,#4 of 5 Spas & Wellness in Duncan,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1e/4d/e7/f2/outside-purely-wellness.jpg),,
Cassiar Mountain Jade Store,,Speciality & Gift Shops,,#1 of 1 Shopping in Jade City,,,
Walker's Trail,,Nature & Wildlife Areas • Hiking Trails,33,#1 of 1 things to do in South Pender Island,,,
,,,,,,,
Sunshine Coast Kayaking,,Equipment Hire,10,#10 of 11 Outdoor Activities in Gibsons,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1c/70/83/ae/caption.jpg),,
The Candy Vault,,Speciality & Gift Shops,487,#20 of 22 Shopping in Salmon Arm,,,
Cape Fife Trail,,Hiking Trails,104,#10 of 11 things to do in Masset,,,
,,,,,,,
Axewood Axe Throwing - Whistler,,Sports Camps & Clinics,16,#63 of 66 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/61/8c/e6/caption.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Local Supply Co,,Equipment Hire,102,#10 of 14 Outdoor Activities in Smithers,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/b2/08/5d/caption.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
,,,,,,,
Gym Of Rock,,Game & Entertainment Centres,8,#8 of 14 Fun & Games in Salmon Arm,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/b4/53/bb/just-climb.jpg),,
Gym Of Rock,,Game & Entertainment Centres,8,#9 of 14 Fun & Games in Salmon Arm,,,
Capilano Suspended Bridge,,National Parks • Parks • Forests,16,#368 of 402 things to do in Vancouver,,,
,,,,,,,
Revelstoke Ski Touring,,Ski & Snow Tours,3,#30 of 42 Outdoor Activities in Revelstoke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/bf/af/20/ski-touring-on-a-bluebird.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
,,,,,,,
Bc Wine Studio By Carter Wine Company,,Wineries & Vineyards,100,#444 of 487 things to do in Okanagan Valley,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/89/2d/c4/november-beautiful-day.jpg),,
Haltwhistle Cheese,,Other Food & Drink,737,#31 of 33 things to do in Duncan,,,
,,,,,,,
Comox Valley Strength & Conditioning,,Sports Camps & Clinics,737,#29 of 30 things to do in Courtenay,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1c/6f/38/00/caption.jpg),,
,,,,,,,
,,,,,,,
Dalilas Massage,,Spas,16,#3 of 3 Spas & Wellness in Squamish,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/d5/4b/e3/you-are-ours-priority.jpg),,
Hankin-evelyn Trail,,Nature & Wildlife Areas • Hiking Trails,141,#18 of 20 things to do in Smithers,,,
Marine Peace Park,,Hiking Trails,487,#42 of 46 things to do in Salmon Arm,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/aa/c1/44/marine-peace-park-wow.jpg),,
Blackburn Park,,Playgrounds,732,#44 of 46 things to do in Salmon Arm,,,
Dave Coyle Antique Reproductions,,Speciality & Gift Shops,10,#8 of 9 Shopping in Gibsons,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/ae/1e/4b/window.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Bowmac Sign,,Points of Interest & Landmarks • Architectural Buildings,16,#367 of 402 things to do in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Shuswap Lake,,Bodies of Water,214,#41 of 46 things to do in Salmon Arm,,,
Chain Reaction Winery,,Wineries & Vineyards,4,#76 of 82 things to do in Penticton,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/a7/23/2e/view-from-chain-reaction.jpg),,
Fletcher Park,,Playgrounds,487,#39 of 46 things to do in Salmon Arm,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/cd/37/1f/fletcher-splash-park.jpg),,
St. Mary's and St. Paul's Anglican Church,,Churches & Cathedrals,1,#10 of 13 things to do in Lytton,,,
Ninja Tag,,Health Clubs,2,#6 of 7 Spas & Wellness in Coquitlam,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Ea Gourmet Macarons And Chocolates,,Speciality & Gift Shops,36,#12 of 15 Shopping in Kamloops,,,
Inuit Gallery of Vancouver,,Art Galleries,426,#55 of 57 things to do in North Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/80/7b/b5/art.jpg),,
,,,,,,,
,,,,,,,
Canadian Wildlife Museum,,Speciality Museums • Natural History Museums • Art Museums • Children's Museums,2,#33 of 36 things to do in Vernon,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1d/6a/cb/bd/you-don-t-want-to-argue.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",< 1 hour
,,,,,,,
Early Bird Family Farm,,Farms,57,#11 of 11 things to do in Aldergrove,,,
Around The Pond Trail,,Hiking Trails,5,#13 of 15 things to do in Sandspit,,,
,,,,,,,
Summerland Community Arts Council,,Art Galleries,2,#38 of 40 things to do in Summerland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1f/15/eb/6c/our-first-gallery-show.jpg),"<div class=""WlYyy diXIH dDKKM""><div class=""dHiCM"">Summerland Community Arts Council is open:<br><ul><li>Mon - Fri 10:00 a.m. - 4:00 p.m.</li></ul></div></div>",
Next Level Riding,,Biking Trails,737,#30 of 33 things to do in Duncan,,,
Camping-Shuttle.com,,Taxis & Shuttles,,#1 of 1 Transportation in Langley Township,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/97/eb/a0/caption.jpg),"<div class=""WlYyy diXIH dDKKM"">Explore different ways to experience this place.</div>",
,,,,,,,
,,,,,,,
Cornerstone Yoga Collective,,Equipment Hire,6,#3 of 4 Outdoor Activities in Fort St. John,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/26/a9/e8/caption.jpg),,
Colval Paintball,,Equipment Hire,226,#9 of 10 Outdoor Activities in Fairmont Hot Springs,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/8a/82/7c/caption.jpg),,
Nada,,Farmers Markets,16,#361 of 402 things to do in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/c9/44/a8/nada-grocery.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Singing Heart Studios,,Art Galleries,737,#12 of 14 things to do in Port Hardy,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/66/e7/4c/singing-heart-studios.jpg),"<div class=""WlYyy diXIH dDKKM""><div class=""dHiCM"">Singing Heart Studios is open:<br><ul><li>Tue - Sat 12:00 p.m. - 5:00 p.m.</li></ul></div></div>",
,,,,,,,
The Gold Rush Bookstore,,Speciality & Gift Shops,130,#8 of 15 Shopping in Rossland,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/86/45/08/don-t-judge-a-book-by.jpg),"<div class=""WlYyy diXIH dDKKM""><div class=""dHiCM"">The Gold Rush Bookstore is open:<br><ul><li>Mon - Sat 11:00 a.m. - 5:00 p.m.</li></ul></div></div>",
Wild Cortes - Natural History Centre,,Natural History Museums,16,#5 of 6 things to do in Mansons Landing,,,
1st R.O.W Estate Winery,,Wineries & Vineyards,2,#46 of 46 things to do in Surrey,,,< 1 hour
,,,,,,,
Qualicum Beach Wellness,,Spas,737,#5 of 5 Spas & Wellness in Qualicum Beach,,,1-2 hours
Panorama Orchards,,Farms,5,#53 of 53 things to do in Oliver,,,< 1 hour
,,,,,,,
Forever Laser Spa,,Spas,16,#226 of 229 Spas & Wellness in Vancouver,,,More than 3 hours
Omineca Provincial Park and Protected Area,,Parks,,#1 of 1 things to do in Germansen Landing,,,
,,,,,,,
Vanscooter Adventures Ltd.,,Equipment Hire,16,#215 of 219 Outdoor Activities in Vancouver,,,2-3 hours
The CRS Trading Post,,Speciality & Gift Shops,48,#1 of 1 Shopping in Britannia Beach,,,
Dixie Cove Marine Provincial Park,,Parks,737,#1 of 2 things to do in Kyuquot,,,
Gibson Marine Provincial Park,,Parks,737,#2 of 3 things to do in Ahousat,,,
Isabella Winery,,Wineries & Vineyards,667,#97 of 97 things to do in Richmond,,,
Hesquiat Peninsula Provincial Park,,Parks,737,#1 of 1 things to do in Hot Springs Cove,,,
Dawley Passage Provincial Park,,Parks,737,#41 of 42 things to do in Tofino,,,
Squitty Bay Provincial Park,,Parks,,#3 of 3 things to do in Lasqueti Island,,,
BC Wineguys,,Speciality & Gift Shops,737,#100 of 106 Shopping in Victoria,,,
BC Adventure Rentals,,Equipment Hire,100,#123 of 123 Outdoor Activities in Kelowna,,,
Teakerne Arm Provincial Park,,Parks,,#3 of 3 things to do in Refuge Cove,,,
Prince George Freecycle,,Speciality & Gift Shops,23,#11 of 11 Shopping in Prince George,,,< 1 hour
Artavi Skateboards,,Speciality & Gift Shops,737,#102 of 106 Shopping in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/06/c2/90/ea/getlstd-property-photo.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Greenwood Golf Club,,Golf Courses,,#1 of 1 Outdoor Activities in Greenwood,,,
Erik's Angling Adventures,,Other Outdoor Activities,2,#33 of 33 Outdoor Activities in Chilliwack,,,
Blue Heron Traditional Chinese Medicine,,Spas,216,#11 of 11 Spas & Wellness in Nelson,,,
,,,,,,,
VO2 Performance Training,,Other Outdoor Activities,35,#24 of 24 Outdoor Activities in Nelson,,,
Mount 7 Rec Plex,,Other Outdoor Activities,239,#45 of 47 Outdoor Activities in Golden,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/06/81/3e/d5/getlstd-property-photo.jpg),,1-2 hours
Merry Island Lighthouse,,Points of Interest & Landmarks • Lighthouses,16,#6 of 6 things to do in Halfmoon Bay,,,
Van Caissey,,Speciality & Gift Shops,737,#348 of 353 Shopping in Vancouver Island,,,< 1 hour
Body Quest Health & Fitness,,Health Clubs,239,#5 of 6 Spas & Wellness in Golden,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
Weaver Lake,,Bodies of Water,,#2 of 2 things to do in Hemlock Valley,,,
Tumblebums Play Centre & Toy Shoppe,,Game & Entertainment Centres,737,#30 of 34 Fun & Games in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/18/af/1f/d9/getlstd-property-photo.jpg),,1-2 hours
Mason's Beach Park,,Beaches,737,#9 of 10 things to do in Shawnigan Lake,,,1-2 hours
"Peculiar, Leather & Jewelry Art Works",,Speciality & Gift Shops • Art Galleries,149,#3 of 3 Museums in White Rock,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/a0/a4/8b/peculiar-artwork-for.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",< 1 hour
Collections by 5th Avenue,,Speciality & Gift Shops,737,#85 of 106 Shopping in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/97/b1/68/getlstd-property-photo.jpg),,< 1 hour
East Beach Trail,,Hiking Trails,104,#10 of 11 things to do in Tlell,,,More than 3 hours
,,,,,,,
,,,,,,,
Granville Island Galleries,,Art Galleries,16,#382 of 402 things to do in Vancouver,,,1-2 hours
Kamloops Paintball Games,,Game & Entertainment Centres,36,#25 of 25 Fun & Games in Kamloops,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/60/c3/8d/low-impact-paintball.jpg),,
Whistler Blackcomb Fresh Tracks Mountain Top,,Ski & Snowboard Areas,16,#66 of 66 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1a/05/7c/96/blackcombnovember-12.jpg),,
Old Man Lake Provincial Park,,Bodies of Water • Nature & Wildlife Areas,8,#6 of 10 things to do in Houston,,,
,,,,,,,
Skoah,,Spas,2,#21 of 21 Spas & Wellness in Surrey,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Willow's Wax Bar,,Spas,16,#197 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Body Spa at John Casablancas Institute,,Spas,16,#171 of 229 Spas & Wellness in Vancouver,,,
A/Z Mountain Adventures,,Horseback Riding Tours,183,#10 of 10 Outdoor Activities in Fairmont Hot Springs,,,
Skn Holistic Rejuvenation Clinic Inc,,Spas,16,#212 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Gator’s Pub,,Bars & Clubs,2,#2 of 2 Nightlife in Abbotsford,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
Skoah,,Spas,16,#215 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Mystic Dreams,,Speciality & Gift Shops,232,#2 of 2 Shopping in Clearwater,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/b5/17/de/even-books-and-incense.jpg),,
Merle Norman Cosmetics & Day Spa,,Speciality & Gift Shops • Spas,737,#1 of 1 Spas & Wellness in Campbell River,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1d/bf/e5/9d/a-view-of-our-4-manicure.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
Simpson Walk,,Points of Interest & Landmarks,100,#95 of 97 things to do in Kelowna,,,< 1 hour
Amara Farm,,Farms,737,#30 of 30 things to do in Courtenay,,,
Galaxy Bowl,,Bowling Alleys,2,#16 of 17 Fun & Games in Abbotsford,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",2-3 hours
Campbell River Bowling,,Bowling Alleys,737,#9 of 9 Fun & Games in Campbell River,,,1-2 hours
Dancing Tree Gallery,,Art Galleries,35,#20 of 20 things to do in Powell River,,,1-2 hours
Project Climbing,,Game & Entertainment Centres,2,#14 of 17 Fun & Games in Abbotsford,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
Brothers Bowling and Billards,,Bowling Alleys,2,#15 of 17 Fun & Games in Abbotsford,,,2-3 hours
Kaleidoscope Collective,,Art Galleries,306,#19 of 20 things to do in Powell River,,,
Hacker's Haven,,Golf Courses,11,#8 of 9 Outdoor Activities in Maple Ridge,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",2-3 hours
,,,,,,,
Pure Body Health Victoria,,Spas • Thermal Spas,737,#37 of 46 Spas & Wellness in Victoria,,,
Elk Valley Provincial Park,,State Parks • Nature & Wildlife Areas,2,#14 of 14 things to do in Sparwood,,,
Raku Therapeutic Japanese Head Massage,,Spas,16,#220 of 229 Spas & Wellness in Vancouver,,,< 1 hour
,,,,,,,
Cyklus Vancouver,,Health Clubs,16,#219 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/12/91/b2/30/our-spin-instructor-crew.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",More than 3 hours
Bowen Island Museum and Archives,,History Museums,38,#8 of 10 things to do in Bowen Island,,,
Slim Creek Provincial Park,,Bodies of Water • Nature & Wildlife Areas,,#1 of 2 things to do in Crescent Spur,,,
Denison-Bonneau Provincial Park,,Bodies of Water • Nature & Wildlife Areas,101,#4 of 5 things to do in Cherryville,,,
The Painted Loft,,Lessons & Workshops,13,#2 of 2 Classes & Workshops in Langley City,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1a/13/9d/79/the-painted-loft-is-a.jpg),,2-3 hours
Shannon Ford Fine Artist,,Art Galleries,737,#7 of 7 things to do in Denman Island,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/16/f6/51/4f/blue-horse-painted-by.jpg),,< 1 hour
Test,,Taxis & Shuttles,3,#1 of 1 Transportation in Lake Country,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/0a/9d/16/caption.jpg),,
Rachelle Chinnery Porcelain,,Art Galleries,737,#14 of 14 things to do in Hornby Island,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/1b/52/59/2a/these-celadon-glazed.jpg),"<div class=""WlYyy diXIH dDKKM""><div class=""dHiCM"">Rachelle Chinnery Porcelain is open:<br><ul><li>Wed - Sun 12:00 p.m. - 4:00 p.m.</li></ul></div></div>",< 1 hour
Canvas Method,,Lessons & Workshops,16,#29 of 33 Classes & Workshops in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/16/52/e7/87/getlstd-property-photo.jpg),,2-3 hours
Ella Beach,,Beaches,737,#19 of 20 things to do in Sooke,,,1-2 hours
7 Rays,,Speciality & Gift Shops,737,#91 of 106 Shopping in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/ff/0e/60/high-quality-incense.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",< 1 hour
Dreamland Silent Disco,,Sports Camps & Clinics,255,#13 of 13 things to do in Ganges,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/16/f1/11/56/caption.jpg),,
Valemount Village Office,,Government Buildings,86,#17 of 18 things to do in Valemount,,,
,,,,,,,
,,,,,,,
Dog Off Leash Park,,Parks,2,#58 of 60 things to do in Abbotsford,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/17/47/23/c5/bateman-dog-park-is-a.jpg),,
Juvenation,,Spas,737,#5 of 5 Spas & Wellness in Duncan,,,< 1 hour
Argentum Jewellery School & Supply,,Paint & Pottery Studios,737,#9 of 10 Classes & Workshops in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/34/c6/78/caption.jpg),,
Spin Cycle Amusements,,Game & Entertainment Centres,16,#20 of 20 Fun & Games in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/59/7e/0e/getlstd-property-photo.jpg),,2-3 hours
Gitnadoiks River Provincial Park and Protected Area,,Nature & Wildlife Areas,37,#72 of 88 things to do in Kitimat-Stikine District,,,
Bedard Aspen Provincial Park,,Nature & Wildlife Areas,2,#9 of 13 things to do in Ashcroft,,,
,,,,,,,
,,,,,,,
Deadman's Island Provincial Park,,Nature & Wildlife Areas,2,#9 of 11 things to do in Burns Lake,,,
Entiako Provincial Park,,Parks,,#1 of 1 things to do in Tetachuck Lake,,,
Story Institute Acting School,,Paint & Pottery Studios,16,#27 of 33 Classes & Workshops in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/4d/cd/94/caption.jpg),,
Anstey Hunakwa Provincial Park,,Bodies of Water • Nature & Wildlife Areas • Parks,3,#2 of 3 things to do in Seymour Arm,,,
Upper Seymour River Provincial Park,,Bodies of Water • Nature & Wildlife Areas,214,#3 of 3 things to do in Seymour Arm,,,
,,,,,,,
DoTerra Wellness Living,,Spas,667,#16 of 21 Spas & Wellness in Richmond,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
B&D Spa,,Spas,667,#15 of 21 Spas & Wellness in Richmond,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Pelle Derma Touch,,Spas,16,#174 of 229 Spas & Wellness in Vancouver,,,
Forever Young Beauty & Body Care Centre,,Spas,16,#180 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Aya Beauty Spa,,Spas,16,#179 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Crafty Nail Bar,,Spas,16,#182 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Touch of Joy,,Spas,16,#185 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Pampered Lash Bar,,Spas,426,#24 of 30 Spas & Wellness in North Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Balance Acupuncture & Massage,,Spas,16,#181 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Deja Vu Spa,,Spas,426,#25 of 30 Spas & Wellness in North Vancouver,,,
Kleanse Spa Bar,,Spas,16,#187 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1c/8a/f1/ab/hidden-away-spa-in-the.jpg),,
Strands Hair and Skin Treatment Centre,,Spas,16,#200 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1d/c1/50/8c/caption.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Kokopelli Hair Salon,,Spas,16,#191 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1a/18/f6/9f/balayage-ice-cool-tones.jpg),"<div class=""WlYyy diXIH dDKKM""></div>",
Glow Dermal Therapy,,Spas,16,#199 of 229 Spas & Wellness in Vancouver,,,
Facial Expressions Skin Therapy,,Spas,16,#194 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/13/c2/ee/e7/we-believe-the-long-term.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
"Earth, Wind & Spa",,Spas,667,#18 of 21 Spas & Wellness in Richmond,,,
Three Birds Bodycare and Massage,,Spas,16,#213 of 229 Spas & Wellness in Vancouver,,,
King & Queen Studio,,Spas,16,#195 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1a/37/f9/62/dipping-powder.jpg),,
Commercial Drive Massage Therapy,,Spas,16,#196 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Five Oceans Day Spa,,Spas,135,#6 of 9 Spas & Wellness in West Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
La Rouge Hair & Spa,,Spas,135,#8 of 9 Spas & Wellness in West Vancouver,,,
Touch of Beauty Spa & Skincare,,Spas,16,#203 of 229 Spas & Wellness in Vancouver,,,
Skoah,,Spas,426,#27 of 30 Spas & Wellness in North Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Mainland Massage Therapy,,Spas,16,#148 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Fashionista Salon,,Spas,2,#17 of 21 Spas & Wellness in Surrey,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Reach Massage,,Spas,16,#143 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/13/61/d8/3c/our-staff-are-highly.jpg),"<div class=""WlYyy diXIH dDKKM"">Kitsilano is one of Vancouver's most transformative neighbourhoods. With a long history of coffee culture and poetry readings, its days of flower children and buskers may be long-gone, but not without leaving their mark on the number of organic restaurants and fair-trade cafes in the area. At the centre of Kitsilano (""Kits"" for short) the almost idyllic expanse of Kits Beach offers the opportunity for a relaxed afternoon of beach volleyball or sunbathing. Along with the beachfront, nearby public pools and trendy street-beats have driven up the homeowners prices, making it a haven for stylish home goods stores, from design and furniture, to supplies and appliances. The multitude of both families and public spaces also make it a happening neighbourhood in the summer, when festivals and fairs take to Kits' streets.</div>",
Sole Spa,,Spas,16,#118 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Pink Lime Salon & Spa,,Spas,16,#124 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Babor Beauty Spa,,Spas,16,#116 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
2 Polished Beauty,,Spas,2,#24 of 28 Spas & Wellness in Burnaby,,,
Renaissance Spa & Wellness Centre,,Spas,16,#126 of 229 Spas & Wellness in Vancouver,,,
Advance Beauty Studio,,Spas,426,#28 of 30 Spas & Wellness in North Vancouver,,,
Shangri-La Body Care,,Spas,16,#193 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
AMOR STUDIO,,Spas,426,#29 of 30 Spas & Wellness in North Vancouver,,,
Glamorous Beauty Salon,,Spas,2,#15 of 21 Spas & Wellness in Surrey,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Skoah,,Spas,16,#214 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Uvall Health Centre,,Spas,2,#14 of 28 Spas & Wellness in Burnaby,,,
Glamour Touch Studio,,Spas,2,#14 of 21 Spas & Wellness in Surrey,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Grandview Massage Therapy,,Spas,16,#147 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Wendy's Beauty,,Spas,667,#14 of 21 Spas & Wellness in Richmond,,,
Pulse Laser Skincare Clinic,,Spas,25,#3 of 3 Spas & Wellness in Delta,,,
Kasey Beauty Spa,,Spas,2,#7 of 7 Spas & Wellness in Coquitlam,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
B.B. Skin Health Care Clinic,,Spas,426,#17 of 30 Spas & Wellness in North Vancouver,,,
Dawa Spa,,Spas,16,#201 of 229 Spas & Wellness in Vancouver,,,
Monica's Beauty Bar,,Spas,16,#198 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Iris Day Spa,,Spas,2,#18 of 21 Spas & Wellness in Surrey,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Black2Blond Spa & Salon,,Spas,16,#206 of 229 Spas & Wellness in Vancouver,,,
Pacific Oasis Spa,,Spas,16,#211 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Aloe Massage Therapy,,Spas,16,#208 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
CanTrip,,Taxis & Shuttles,16,#87 of 92 Transportation in Vancouver,,,
,,,,,,,
,,,,,,,
,,,,,,,
Massage with Brittanya,,Spas,216,#10 of 11 Spas & Wellness in Nelson,,,
,,,,,,,
,,,,,,,
The Back Forty,,Yoga & Pilates,2,#1 of 1 Spas & Wellness in Fort Langley,,,
Escape Reality,,Game & Entertainment Centres,100,#8 of 8 Fun & Games in West Kelowna,,,1-2 hours
Kamloops Paintball,,Game & Entertainment Centres,36,#24 of 25 Fun & Games in Kamloops,,,
Paradise Cove Spa,,Spas,2,#5 of 5 Spas & Wellness in Harrison Hot Springs,background-image:url(https://media-cdn.tripadvisor.com/media/photo-m/1280/16/45/79/f4/getlstd-property-photo.jpg),,2-3 hours
,,,,,,,
Regal Estate Jewels,,Speciality & Gift Shops,737,#11 of 13 Shopping in Qualicum Beach,,,< 1 hour
MakerLabs,,Lessons & Workshops,16,#28 of 33 Classes & Workshops in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",2-3 hours
,,,,,,,
Taraxca Jewellery,,Speciality & Gift Shops,25,#12 of 12 Shopping in Delta,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/90/e3/a0/right-inside-the-ferry.jpg),,< 1 hour
