restaurant_name,rating,num_reviews,rank_in_city,cost,categories
Casa Dolce Gelato & Chocolate,4.5 of 5 bubbles,21,"#3, of 7 Desserts in Port Moody",$$ - $$$,Dessert
Connected Minds Cafe and Roastery,5.0 of 5 bubbles,5,"#88, of 244 Restaurants in Coquitlam",,Italian
Yan's Kitchen,4.5 of 5 bubbles,2,"#44, of 58 Restaurants in Port Moody",,
GAYA Sushi,4.0 of 5 bubbles,43,"#59, of 494 Restaurants in Burnaby",$$ - $$$,"Japanese,Sushi,Asian"
Punk Rock Pastries,5.0 of 5 bubbles,6,"#95, of 494 Restaurants in Burnaby",$$ - $$$,"Cafe,Australian,Canadian"
Forest Grove Pizza,4.0 of 5 bubbles,1,"#375, of 494 Restaurants in Burnaby",,Pizza
St. James Well Pub,4.0 of 5 bubbles,115,"#13, of 58 Restaurants in Port Moody",$$ - $$$,"Irish,Bar,Pub"
Hot Oven Pizza,4.5 of 5 bubbles,20,"#92, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza"
North Burnaby Wonton House,3.5 of 5 bubbles,6,"#325, of 494 Restaurants in Burnaby",$,
Hong Sushi,3.5 of 5 bubbles,5,"#345, of 494 Restaurants in Burnaby",$,Sushi
Pajo's,4.0 of 5 bubbles,14,"#32, of 58 Restaurants in Port Moody",$$ - $$$,"Seafood,Fast food,Canadian"
Peking Restaurant,4.5 of 5 bubbles,10,"#121, of 494 Restaurants in Burnaby",$$ - $$$,"Chinese,Canadian"
Bagel Coffee House,5.0 of 5 bubbles,2,"#230, of 494 Restaurants in Burnaby",,Cafe
Cristos Greek Restaurant,4.0 of 5 bubbles,77,"#26, of 494 Restaurants in Burnaby",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly"
Charlie’s Mexican Restaurant,4.0 of 5 bubbles,25,"#30, of 58 Restaurants in Port Moody",$$ - $$$,Mexican
Dairy Queen Grill & Chill,4.0 of 5 bubbles,6,"#11, of 19 Desserts in Burnaby",,Dessert
Saray Turkish Cuisine,4.5 of 5 bubbles,2,"#241, of 494 Restaurants in Burnaby",$$ - $$$,"Mediterranean,Turkish,Eastern European"
Goen Sushi,4.0 of 5 bubbles,26,"#20, of 58 Restaurants in Port Moody",$$ - $$$,"Japanese,Sushi,Asian"
Via Tevere Pizzeria,4.5 of 5 bubbles,276,"#111, of 2,497 Restaurants in Vancouver",$$ - $$$,"Italian,Pizza,Neapolitan"
Kaffi Espresso Bar,5.0 of 5 bubbles,5,"#24, of 58 Restaurants in Port Moody",,
End Of The Line General Store,4.5 of 5 bubbles,36,"#30, of 299 Restaurants in North Vancouver",$$ - $$$,"Cafe,Canadian"
Romer's,3.5 of 5 bubbles,73,"#19, of 58 Restaurants in Port Moody",$$ - $$$,"American,Bar,Pub"
Seok Gi Si Dae,4.0 of 5 bubbles,1,"#192, of 244 Restaurants in Coquitlam",,"Asian,Korean"
White Spot,4.0 of 5 bubbles,54,"#3, of 19 Desserts in Burnaby",$$ - $$$,"Dessert,American,Canadian"
Woking Dragon Chinese Bistro,4.0 of 5 bubbles,51,"#32, of 244 Restaurants in Coquitlam",$$ - $$$,"Chinese,Asian,Cantonese"
Hanano Sushi,4.0 of 5 bubbles,8,"#143, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi"
A&W Restaurant,3.0 of 5 bubbles,13,"#6, of 7 Quick Bites in Port Moody",$,"Quick Bites,Fast food,Canadian"
Panago Pizza,5.0 of 5 bubbles,2,"#114, of 244 Restaurants in Coquitlam",,Pizza
Sushimoto Enterprises,4.5 of 5 bubbles,28,"#42, of 494 Restaurants in Burnaby",$$ - $$$,"Japanese,Sushi,Asian"
Pho 101,3.5 of 5 bubbles,7,"#246, of 494 Restaurants in Burnaby",$,Vietnamese
Zeta Cafe,4.5 of 5 bubbles,3,"#244, of 494 Restaurants in Burnaby",,
X-cite Grill and Bistro,4.0 of 5 bubbles,49,"#55, of 494 Restaurants in Burnaby",$,"Bar,Canadian"
Caffe Divano,4.5 of 5 bubbles,28,"#1, of 21 Coffee & Tea in Burnaby",$,"Cafe,Canadian"
,,,"[None, None]",,
Katsuya,4.5 of 5 bubbles,2,"#116, of 244 Restaurants in Coquitlam",,Japanese
Sergio's Pizza,4.0 of 5 bubbles,19,"#31, of 58 Restaurants in Port Moody",$,Pizza
Tim Hortons,4.5 of 5 bubbles,2,"#250, of 494 Restaurants in Burnaby",,
Nuvola Gelato e Dolci,5.0 of 5 bubbles,13,"#4, of 19 Desserts in Burnaby",$,"Dessert,Italian"
Lazy Den Bubble Tea,4.5 of 5 bubbles,2,"#38, of 58 Restaurants in Port Moody",,
Insadong Restaurant,4.0 of 5 bubbles,73,"#27, of 244 Restaurants in Coquitlam",$$ - $$$,"Barbecue,Asian,Korean"
Murasaki Japanese Restaurant,4.0 of 5 bubbles,43,"#21, of 58 Restaurants in Port Moody",$$ - $$$,"Japanese,Sushi,Asian"
Sushi Uomo,4.5 of 5 bubbles,34,"#31, of 494 Restaurants in Burnaby",$$ - $$$,"Japanese,Sushi,Asian"
Omega Cafe,4.0 of 5 bubbles,4,"#40, of 58 Restaurants in Port Moody",,"American,Cafe,Canadian"
Tangmaru Korean Restaurant,3.5 of 5 bubbles,2,"#51, of 58 Restaurants in Port Moody",,
Pizza Station,4.0 of 5 bubbles,1,"#50, of 58 Restaurants in Port Moody",$$ - $$$,"Italian,American,Pizza"
The Crab Shop,4.0 of 5 bubbles,21,"#12, of 31 Quick Bites in North Vancouver",$$ - $$$,"Quick Bites,Seafood,Canadian"
Jimoco,4.0 of 5 bubbles,38,"#17, of 244 Restaurants in Coquitlam",$$ - $$$,"Italian,Vegetarian Friendly"
Mount Athos Pizza,4.0 of 5 bubbles,5,"#117, of 244 Restaurants in Coquitlam",$,
BC Taco,3.0 of 5 bubbles,2,"#53, of 58 Restaurants in Port Moody",$,Mexican
Blue China,4.0 of 5 bubbles,2,"#45, of 58 Restaurants in Port Moody",,Chinese
Subway,3.5 of 5 bubbles,4,"#46, of 58 Restaurants in Port Moody",,Deli
United Strangers Coffee,5.0 of 5 bubbles,1,"#22, of 23 Coffee & Tea in North Vancouver",,Cafe
Sushi and Roll Japanese Restaurant,4.0 of 5 bubbles,10,"#33, of 58 Restaurants in Port Moody",$$ - $$$,"Japanese,Sushi"
Broken Rice Restaurant,4.0 of 5 bubbles,77,"#23, of 494 Restaurants in Burnaby",$$ - $$$,"Asian,Vietnamese,Vegetarian Friendly"
KFC,3.0 of 5 bubbles,1,"#206, of 244 Restaurants in Coquitlam",,American
Thomas Haas,4.5 of 5 bubbles,384,"#1, of 23 Coffee & Tea in North Vancouver",$$ - $$$,"Bakeries,Cafe,Canadian"
Sushi Bar Kilala,5.0 of 5 bubbles,6,"#129, of 494 Restaurants in Burnaby",,Sushi
Chez Meme Baguette Bistro,4.5 of 5 bubbles,38,"#27, of 494 Restaurants in Burnaby",$$ - $$$,"French,Cafe,European"
Tom Yum Thai Restaurant,4.0 of 5 bubbles,1,"#382, of 494 Restaurants in Burnaby",,Thai
Romana Pizza & Steak House,4.0 of 5 bubbles,20,"#98, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Steakhouse,Pizza"
Oriental Kitchen,2.5 of 5 bubbles,3,"#457, of 494 Restaurants in Burnaby",,Chinese
The Rolling Dough,4.5 of 5 bubbles,6,"#141, of 494 Restaurants in Burnaby",$,"Italian,Pizza"
Gallaghers,4.0 of 5 bubbles,23,"#2, of 4 Coffee & Tea in Port Moody",$$ - $$$,"Dessert,Cafe,Canadian"
Sunshine European Deli,4.5 of 5 bubbles,5,"#47, of 58 Restaurants in Port Moody",,Deli
Seymour’s Pub,4.0 of 5 bubbles,95,"#60, of 299 Restaurants in North Vancouver",$$ - $$$,"American,Bar,Pub"
Denny's Of Canada,3.5 of 5 bubbles,45,"#43, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Canadian,Vegetarian Friendly"
Domenico's Italian Restaurant,4.0 of 5 bubbles,1,"#385, of 494 Restaurants in Burnaby",,Italian
Chuncheon Dakgalbi,4.0 of 5 bubbles,1,"#48, of 58 Restaurants in Port Moody",$$ - $$$,"Asian,Korean"
Moja Coffee,4.5 of 5 bubbles,37,"#2, of 23 Coffee & Tea in North Vancouver",$$ - $$$,"Quick Bites,Cafe,Canadian"
Hanamori Sushi Restaurant,4.5 of 5 bubbles,18,"#29, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi,Asian"
J Beethoven's Pizza Gourmet,4.0 of 5 bubbles,12,"#112, of 494 Restaurants in Burnaby",$,"Italian,Indian,Pizza"
Caffe Artigiano,3.5 of 5 bubbles,3,"#319, of 494 Restaurants in Burnaby",,Cafe
Beanery Coffeehouse & Eatery,5.0 of 5 bubbles,4,"#91, of 244 Restaurants in Coquitlam",$$ - $$$,Pizza
Japolo Sushi,4.0 of 5 bubbles,16,"#149, of 494 Restaurants in Burnaby",,"Japanese,Sushi,Asian,Vietnamese"
Crepe Delicious & Froshbert Gelato,3.5 of 5 bubbles,8,"#19, of 26 Desserts in Richmond",$$ - $$$,Dessert
Pajos Fish and Chips,3.0 of 5 bubbles,5,"#52, of 58 Restaurants in Port Moody",,
Jimmy's Place Restaurant,4.0 of 5 bubbles,26,"#1, of 12 Quick Bites in Coquitlam",$,"Quick Bites,Cafe,Diner"
Sushi U,4.5 of 5 bubbles,11,"#88, of 494 Restaurants in Burnaby",,"Sushi,Asian"
Barcelos Flame Grilled Chicken,4.5 of 5 bubbles,13,"#83, of 299 Restaurants in North Vancouver",$$ - $$$,"Grill,Portuguese,Canadian"
Freshii,4.5 of 5 bubbles,4,"#35, of 58 Restaurants in Port Moody",,"Fast food,Healthy"
Stan's Pizza Joint,4.0 of 5 bubbles,26,"#114, of 494 Restaurants in Burnaby",$,"Pizza,Canadian,Vegetarian Friendly"
Livelyhood,4.0 of 5 bubbles,3,"#36, of 58 Restaurants in Port Moody",$$ - $$$,Pub
JJ Bean Coffee Roasters,5.0 of 5 bubbles,3,"#3, of 4 Coffee & Tea in Port Moody",,Cafe
Hee Rae Deung Korean Chinese Restaurant,4.0 of 5 bubbles,12,"#60, of 244 Restaurants in Coquitlam",$$ - $$$,"Chinese,Asian,Korean"
Grand Seasons Restaurant,3.0 of 5 bubbles,20,"#222, of 244 Restaurants in Coquitlam",$$ - $$$,"Chinese,Asian,Cantonese"
The Wild Fig,3.5 of 5 bubbles,68,"#46, of 244 Restaurants in Coquitlam",$$ - $$$,"Fusion,Vegetarian Friendly"
Steve's Poke Bar Lougheed,5.0 of 5 bubbles,3,"#168, of 494 Restaurants in Burnaby",$$ - $$$,Hawaiian
Thai Chef,3.5 of 5 bubbles,6,"#280, of 494 Restaurants in Burnaby",$$ - $$$,
Tacofino Commissary,4.5 of 5 bubbles,178,"#201, of 2,497 Restaurants in Vancouver",$$ - $$$,"Mexican,Vegetarian Friendly,Gluten Free Options"
Red Robin Gourmet Burgers,3.5 of 5 bubbles,63,"#213, of 494 Restaurants in Burnaby",$$ - $$$,"American,Bar,Pub"
White Lotus Cafe,4.5 of 5 bubbles,6,"#128, of 494 Restaurants in Burnaby",$,Vietnamese
Booster Juice,4.5 of 5 bubbles,6,"#29, of 58 Restaurants in Port Moody",$,
Rocky Point Taphouse,3.0 of 5 bubbles,9,"#54, of 58 Restaurants in Port Moody",$$ - $$$,
Pasta Polo,3.5 of 5 bubbles,225,"#18, of 244 Restaurants in Coquitlam",$$ - $$$,"Italian,Bar,Pizza"
Casa Del Pane Bakery & Deli,5.0 of 5 bubbles,3,"#1, of 1 Bakery in Port Moody",,"Bakeries,Deli"
Lazzez's Grill Indian Cuisine,4.5 of 5 bubbles,63,"#15, of 244 Restaurants in Coquitlam",$$ - $$$,"Indian,Pakistani,Bangladeshi"
Double One Chinese Restaurant,4.0 of 5 bubbles,35,"#32, of 494 Restaurants in Burnaby",$$ - $$$,"Chinese,Asian,Cantonese"
Khob Khun Thai Cuisine,4.5 of 5 bubbles,15,"#21, of 244 Restaurants in Coquitlam",$$ - $$$,"Asian,Thai"
Dairy Queen Grill & Chill,3.0 of 5 bubbles,8,"#6, of 7 Desserts in Port Moody",$,"Dessert,Fast food"
Ramen Gaoh,3.5 of 5 bubbles,12,"#154, of 494 Restaurants in Burnaby",$$ - $$$,"Japanese,Asian"
Mariner Brewing Co.,4.5 of 5 bubbles,15,"#31, of 244 Restaurants in Coquitlam",$,"American,Brew Pub,Bar"
Freshslice Pizza,5.0 of 5 bubbles,1,"#42, of 58 Restaurants in Port Moody",$,Pizza
Nagano Japanese Restaurant,3.5 of 5 bubbles,13,"#41, of 58 Restaurants in Port Moody",,"Japanese,Sushi,Asian"
Purebread,4.5 of 5 bubbles,436,"#1, of 239 Coffee & Tea in Vancouver",$$ - $$$,"Bakeries,Cafe,Canadian"
Sushi Turn House,4.0 of 5 bubbles,13,"#112, of 244 Restaurants in Coquitlam",$,"Japanese,Sushi,Asian"
Golphis Steak & Lobster,2.5 of 5 bubbles,28,"#56, of 58 Restaurants in Port Moody",$$ - $$$,"Steakhouse,Seafood"
Darband Restaurant,4.0 of 5 bubbles,1,"#384, of 494 Restaurants in Burnaby",,"Middle Eastern,Persian"
Park Crest Cafe,4.0 of 5 bubbles,6,"#204, of 494 Restaurants in Burnaby",$,
Y2 Cafe,4.0 of 5 bubbles,7,"#18, of 23 Coffee & Tea in North Vancouver",,Cafe
Donairville & Cafe,3.5 of 5 bubbles,2,"#377, of 494 Restaurants in Burnaby",,
Sushi Mori,3.5 of 5 bubbles,43,"#51, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Seafood,Sushi"
Mark Twain Restaurant Steak,5.0 of 5 bubbles,1,"#321, of 494 Restaurants in Burnaby",,Steakhouse
Eagle Ridge Pizza Pick-Up,4.0 of 5 bubbles,4,"#49, of 58 Restaurants in Port Moody",,Pizza
Lynn Canyon Cafe,4.0 of 5 bubbles,44,"#80, of 299 Restaurants in North Vancouver",$,"American,Cafe,Canadian"
Subway,4.5 of 5 bubbles,3,"#37, of 58 Restaurants in Port Moody",,American
Pho Capital,4.0 of 5 bubbles,19,"#45, of 244 Restaurants in Coquitlam",$,"Asian,Vietnamese,Soups"
White Spot,4.0 of 5 bubbles,133,"#24, of 494 Restaurants in Burnaby",$$ - $$$,"American,Canadian,Vegetarian Friendly"
Plateau Pizza,4.5 of 5 bubbles,13,"#53, of 244 Restaurants in Coquitlam",$$ - $$$,"Pizza,Canadian"
Pizza Hut,3.0 of 5 bubbles,1,"#392, of 494 Restaurants in Burnaby",,Pizza
Browns Social House,4.0 of 5 bubbles,72,"#54, of 494 Restaurants in Burnaby",$$ - $$$,"Contemporary,Pub,Gastropub"
Black Bear Neighbourhood Pub,4.0 of 5 bubbles,107,"#37, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Pub,Canadian"
Bubble World Coquitlam,3.5 of 5 bubbles,5,"#193, of 244 Restaurants in Coquitlam",,
Coffee Monster,4.5 of 5 bubbles,7,"#3, of 13 Coffee & Tea in Coquitlam",,
Paul's Restaurant,3.5 of 5 bubbles,10,"#268, of 494 Restaurants in Burnaby",$,Chinese
MR MIKES SteakhouseCasual Coquitlam,4.0 of 5 bubbles,102,"#12, of 244 Restaurants in Coquitlam",$$ - $$$,"American,Steakhouse,Bar"
Thai Cafe,4.0 of 5 bubbles,22,"#86, of 494 Restaurants in Burnaby",$$ - $$$,"Asian,Thai,Vegetarian Friendly"
Wah Lun Chinese Restaurant,3.5 of 5 bubbles,17,"#183, of 494 Restaurants in Burnaby",$$ - $$$,"Chinese,Asian,Cantonese"
Thai's Saigon Bistro,4.5 of 5 bubbles,20,"#72, of 494 Restaurants in Burnaby",$,"Asian,Thai,Vietnamese"
Midam Cafe,4.0 of 5 bubbles,15,"#104, of 494 Restaurants in Burnaby",$$ - $$$,"Asian,Korean"
Nagano Japanese Restaurant,4.0 of 5 bubbles,34,"#19, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi,Asian"
Austin Fish & Chips,4.0 of 5 bubbles,32,"#44, of 244 Restaurants in Coquitlam",$,"Seafood,Canadian"
Ethno Restaurant Vayat,5.0 of 5 bubbles,8,"#41, of 244 Restaurants in Coquitlam",$$ - $$$,Eastern European
Pho Mr. Do,4.5 of 5 bubbles,3,"#178, of 494 Restaurants in Burnaby",,
A & W #0173 Loughheed Mall,4.5 of 5 bubbles,2,"#272, of 494 Restaurants in Burnaby",,"American,Fast food,International"
Kimbab Cheonguk,4.5 of 5 bubbles,11,"#63, of 244 Restaurants in Coquitlam",$,"Asian,Korean"
Bentei Sushi,3.5 of 5 bubbles,2,"#387, of 494 Restaurants in Burnaby",,"Japanese,Sushi"
A&W Canada,4.0 of 5 bubbles,1,"#343, of 494 Restaurants in Burnaby",,
Freshii,4.0 of 5 bubbles,1,"#342, of 494 Restaurants in Burnaby",,
Thai Express,3.0 of 5 bubbles,1,"#392, of 494 Restaurants in Burnaby",,Thai
Hiro Sushi Japanese Resturant,3.5 of 5 bubbles,9,"#243, of 494 Restaurants in Burnaby",$,Sushi
Pasta Amore Ristorante,4.0 of 5 bubbles,40,"#62, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza"
Bao Chau,4.5 of 5 bubbles,58,"#297, of 2,497 Restaurants in Vancouver",$,"Asian,Vietnamese,Soups"
Sashimi Sushi,5.0 of 5 bubbles,1,"#312, of 494 Restaurants in Burnaby",,Sushi
La Villetta Ristorante,4.0 of 5 bubbles,38,"#71, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Vegetarian Friendly"
Sushi Town,3.5 of 5 bubbles,62,"#34, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi,Asian"
Church's Chicken,3.0 of 5 bubbles,5,"#213, of 244 Restaurants in Coquitlam",,American
Garlic & Chilli Restaurant,4.0 of 5 bubbles,1,"#357, of 494 Restaurants in Burnaby",,
Buddha-Full,3.5 of 5 bubbles,19,"#19, of 31 Quick Bites in North Vancouver",$,"Quick Bites,Cafe,Vegetarian Friendly"
Ask for Luigi,4.5 of 5 bubbles,376,"#58, of 2,497 Restaurants in Vancouver",$$ - $$$,"Italian,Vegetarian Friendly,Vegan Options"
House of Tofu Soup,4.0 of 5 bubbles,18,"#115, of 494 Restaurants in Burnaby",$$ - $$$,"Asian,Korean,Soups"
Manchu Wok,3.0 of 5 bubbles,2,"#355, of 494 Restaurants in Burnaby",,Chinese
Tentatsu,4.0 of 5 bubbles,19,"#106, of 494 Restaurants in Burnaby",$$ - $$$,"Japanese,Sushi,Asian"
Kojo of Japan,4.0 of 5 bubbles,1,"#363, of 494 Restaurants in Burnaby",,Japanese
El Comal,4.5 of 5 bubbles,10,"#167, of 494 Restaurants in Burnaby",,Mexican
"Mercado, Mexican Market & Taqueria",4.0 of 5 bubbles,4,"#125, of 244 Restaurants in Coquitlam",$$ - $$$,Mexican
Sushi Karis,4.5 of 5 bubbles,18,"#62, of 244 Restaurants in Coquitlam",$,"Japanese,Sushi,Asian"
Baci Ristorante,4.0 of 5 bubbles,60,"#69, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Vegetarian Friendly"
WINGS Coquitlam,3.5 of 5 bubbles,32,"#105, of 244 Restaurants in Coquitlam",$$ - $$$,"Bar,Pub,Canadian"
Revolver Coffee,4.5 of 5 bubbles,241,"#2, of 239 Coffee & Tea in Vancouver",$,"Quick Bites,Cafe,Canadian"
Subway,5.0 of 5 bubbles,2,"#134, of 244 Restaurants in Coquitlam",,Deli
Kamamarui Ramen & Don,5.0 of 5 bubbles,4,"#156, of 494 Restaurants in Burnaby",,
Kokoro Tokyo Mazesoba,3.0 of 5 bubbles,2,"#215, of 244 Restaurants in Coquitlam",,Japanese
Osaka Sushi,4.5 of 5 bubbles,11,"#119, of 494 Restaurants in Burnaby",,"Japanese,Sushi,Asian"
Panago Pizza,4.5 of 5 bubbles,2,"#222, of 299 Restaurants in North Vancouver",,Pizza
Norland Grill,4.5 of 5 bubbles,4,"#164, of 494 Restaurants in Burnaby",,
Sopra Sotto,4.0 of 5 bubbles,12,"#101, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza"
Coffeeholic,5.0 of 5 bubbles,1,"#11, of 13 Coffee & Tea in Coquitlam",,Cafe
The Viet Noodle Guy,4.5 of 5 bubbles,9,"#82, of 494 Restaurants in Burnaby",$,"Asian,Vietnamese"
Jong Ga Korean Restaurant,4.0 of 5 bubbles,7,"#198, of 494 Restaurants in Burnaby",$$ - $$$,"Asian,Korean"
Viva Sue Pizza,4.5 of 5 bubbles,27,"#38, of 494 Restaurants in Burnaby",$$ - $$$,"Italian,Pizza,Canadian"
Yoko Sushi,3.5 of 5 bubbles,13,"#86, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi,Asian"
Tommy's Cafe & Catering,4.0 of 5 bubbles,59,"#58, of 299 Restaurants in North Vancouver",$$ - $$$,"American,International,Canadian"
Jo Ju Tofu Hotpot & Bubble Tea,4.0 of 5 bubbles,2,"#340, of 494 Restaurants in Burnaby",,Asian
Creekside Coffee Factory,4.0 of 5 bubbles,17,"#1, of 13 Coffee & Tea in Coquitlam",$,"Quick Bites,American,Cafe"
Grand Chinese Restaurant,4.5 of 5 bubbles,21,"#89, of 494 Restaurants in Burnaby",$$ - $$$,"Chinese,Asian,Szechuan"
Osteria Savio Volpe,4.5 of 5 bubbles,336,"#50, of 2,497 Restaurants in Vancouver",$$ - $$$,"Italian,Mediterranean,Vegetarian Friendly"
HQ Chinese Skillet,4.0 of 5 bubbles,1,"#180, of 244 Restaurants in Coquitlam",,
Sushi & Japanese Restaurant,3.5 of 5 bubbles,5,"#183, of 244 Restaurants in Coquitlam",$$ - $$$,"Japanese,Sushi"
Siam Le Bien Thai Cuisine,5.0 of 5 bubbles,2,"#189, of 494 Restaurants in Burnaby",,
Big Bite Donair,5.0 of 5 bubbles,16,"#66, of 299 Restaurants in North Vancouver",$,Vegetarian Friendly
Hongdae Korean Restaurant,4.0 of 5 bubbles,1,"#173, of 244 Restaurants in Coquitlam",,"Asian,Korean"
Standing Egg Coffee,4.5 of 5 bubbles,3,"#211, of 494 Restaurants in Burnaby",,Cafe
Pizza One,4.5 of 5 bubbles,2,"#150, of 244 Restaurants in Coquitlam",,
Meat & Bread,4.5 of 5 bubbles,949,"#2, of 281 Quick Bites in Vancouver",$,"Quick Bites,Fast food,Canadian"
Yan's Cafe,5.0 of 5 bubbles,1,"#284, of 494 Restaurants in Burnaby",,
Wang Ga Ma Restaurant,3.5 of 5 bubbles,12,"#100, of 244 Restaurants in Coquitlam",$$ - $$$,"Asian,Korean"
Freshslice Pizza,4.5 of 5 bubbles,7,"#151, of 494 Restaurants in Burnaby",$,Pizza
Chada Thai Fine Cuisine,4.0 of 5 bubbles,94,"#20, of 244 Restaurants in Coquitlam",$$ - $$$,"Seafood,Asian,Thai"
Sfinaki Greek Taverna,3.5 of 5 bubbles,49,"#124, of 494 Restaurants in Burnaby",$$ - $$$,"Mediterranean,Greek"
Peaked Pies,4.5 of 5 bubbles,5,"#134, of 494 Restaurants in Burnaby",$,"Cafe,Australian,New Zealand"
Fatburger Lougheed Burnaby,4.0 of 5 bubbles,24,"#7, of 22 Quick Bites in Burnaby",$,"Quick Bites,American,Fast food"
IHOP,3.5 of 5 bubbles,39,"#135, of 494 Restaurants in Burnaby",$$ - $$$,"American,Vegetarian Friendly"
IKEA Coquitlam Food Court,3.5 of 5 bubbles,109,"#23, of 244 Restaurants in Coquitlam",$,"Swedish,Scandinavian,Vegetarian Friendly"
Chau's Restaurant,4.0 of 5 bubbles,1,"#201, of 244 Restaurants in Coquitlam",,
Pho Phu Thinh Vietnamese Restaurant,4.0 of 5 bubbles,29,"#50, of 244 Restaurants in Coquitlam",$$ - $$$,"Asian,Vietnamese,Soups"
Starbucks Westwood Palteau Village,5.0 of 5 bubbles,4,"#9, of 13 Coffee & Tea in Coquitlam",,
Subway,3.5 of 5 bubbles,7,"#136, of 244 Restaurants in Coquitlam",$,
Rio Brazilian Steak House,3.0 of 5 bubbles,54,"#95, of 244 Restaurants in Coquitlam",$$ - $$$,"Steakhouse,Brazilian,Barbecue"
Bono Cafe,4.0 of 5 bubbles,4,"#140, of 244 Restaurants in Coquitlam",,
JTL Chicken World,5.0 of 5 bubbles,2,"#101, of 244 Restaurants in Coquitlam",,"Asian,Korean"
Nonhyun Samgyetang,4.5 of 5 bubbles,2,"#137, of 244 Restaurants in Coquitlam",,
Pizza Island & Indian Spice,4.5 of 5 bubbles,7,"#85, of 244 Restaurants in Coquitlam",,
Copper Alley Cafe,4.5 of 5 bubbles,3,"#217, of 299 Restaurants in North Vancouver",,Canadian
Just Waffles,4.5 of 5 bubbles,16,"#733, of 2,497 Restaurants in Vancouver",$,Canadian
Cafe Hashtag,4.0 of 5 bubbles,2,"#131, of 244 Restaurants in Coquitlam",,
Astro's Kitchen,4.0 of 5 bubbles,3,"#245, of 494 Restaurants in Burnaby",$,
La Ruota Pizzeria,4.0 of 5 bubbles,24,"#36, of 244 Restaurants in Coquitlam",$,"Italian,Pizza,Vegetarian Friendly"
Medley's Grill,4.0 of 5 bubbles,6,"#156, of 299 Restaurants in North Vancouver",,"American,Steakhouse,Bar,Pizza"
Russian House Restaurant,4.0 of 5 bubbles,16,"#92, of 244 Restaurants in Coquitlam",$$ - $$$,"Russian,Eastern European"
Coffee + Vanilla,4.5 of 5 bubbles,3,"#7, of 13 Coffee & Tea in Coquitlam",,Cafe
JJ Bean Coffee Roasters - Park & Tilford,4.5 of 5 bubbles,24,"#5, of 23 Coffee & Tea in North Vancouver",$$ - $$$,"Quick Bites,Cafe,Canadian"
Lucky Gate Chinese Restaurant,4.0 of 5 bubbles,12,"#144, of 244 Restaurants in Coquitlam",$$ - $$$,"Chinese,Asian"
Jamila's Kitchen,4.0 of 5 bubbles,5,"#118, of 244 Restaurants in Coquitlam",,
Tamam Fine Palestinian Cuisine,4.5 of 5 bubbles,85,"#371, of 2,497 Restaurants in Vancouver",$$ - $$$,"Mediterranean,Middle Eastern,Vegetarian Friendly"
Kissa Tanto,4.5 of 5 bubbles,198,"#104, of 2,497 Restaurants in Vancouver",$$$$,"Italian,Japanese,Vegetarian Friendly"
Whole Foods Market,4.0 of 5 bubbles,17,"#2, of 2 Speciality Food Markets in Burnaby",$,"Speciality Food Market,Vegetarian Friendly"
Vesuvio Pizzeria,5.0 of 5 bubbles,1,"#154, of 244 Restaurants in Coquitlam",,Pizza
Game Changers Bistro,4.5 of 5 bubbles,2,"#277, of 494 Restaurants in Burnaby",,
The Bombay Restaurant,4.0 of 5 bubbles,86,"#10, of 115 Restaurants in Port Coquitlam",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options"
eF & Be Bakehouse,4.0 of 5 bubbles,2,"#267, of 494 Restaurants in Burnaby",$,Japanese
Donair Town,4.0 of 5 bubbles,3,"#139, of 244 Restaurants in Coquitlam",,
Turkish Donair,4.0 of 5 bubbles,7,"#187, of 494 Restaurants in Burnaby",,Turkish
Polly Pokinos,3.5 of 5 bubbles,3,"#168, of 244 Restaurants in Coquitlam",$$ - $$$,
Sulmida Dessert Cafe,3.0 of 5 bubbles,1,"#392, of 494 Restaurants in Burnaby",,Asian
Wildeye Brewing,4.5 of 5 bubbles,8,"#102, of 299 Restaurants in North Vancouver",$,
Agra Tandoori Restaurant,4.0 of 5 bubbles,79,"#19, of 494 Restaurants in Burnaby",$$ - $$$,"Indian,Vegetarian Friendly,Vegan Options"
Myoung Dong Kahl Gook Soo,4.0 of 5 bubbles,2,"#318, of 494 Restaurants in Burnaby",,
Kam Ding Seafood Restaurant,4.0 of 5 bubbles,40,"#26, of 244 Restaurants in Coquitlam",$$ - $$$,"Chinese,Seafood,Asian"
